,name,handedness,height,weight,avg,HR,Hand
19,Tommy McCraw,L,72,183,0.246,75,Left
876,Tony Armas,R,71,182,0.252,251,Right
526,Tony Arnold,R,71,170,0.0,0,Right
379,Tony Chevez,R,71,177,0.0,0,Right
579,Tony Cloninger,R,72,210,0.192,11,Right
1146,Tony Conigliaro,R,75,185,0.264,166,Right
89,Tony Ferreira,L,73,160,0.0,0,Left
194,Tony Gonzalez,L,69,170,0.286,103,Left
632,Tony Horton,R,75,210,0.268,76,Right
330,Tony Mack,R,70,177,0.0,0,Right
50,Tony Muser,L,74,180,0.259,7,Left
154,Tony Oliva,L,73,175,0.304,220,Left
203,Tony Perez,R,74,175,0.279,379,Right
109,Tony Scott,B,72,164,0.249,17,Both
312,Tony Solaita,L,72,210,0.255,50,Left
587,Tucker Ashford,R,73,195,0.218,6,Right
690,Ty Cline,L,72,170,0.238,6,Left
313,U L Washington,B,71,175,0.251,27,Both
218,Vance Lovelace,L,77,205,0.0,0,Left
220,Vern Fuller,R,73,170,0.232,14,Right
310,Vic Correll,R,70,185,0.229,29,Right
471,Vic Davalillo,L,67,150,0.279,36,Left
1048,Vic Harris,B,71,165,0.217,13,Both
500,Vida Blue,B,72,189,0.104,4,Both
150,Von Joshua,L,70,170,0.273,30,Left
715,Wallace Johnson,B,72,173,0.255,5,Both
77,Walt Bond,L,79,228,0.256,41,Left
82,Walt Williams,R,66,165,0.27,33,Right
118,Wayne Comer,R,70,175,0.229,16,Right
49,Wayne Garrett,L,71,175,0.239,61,Left
222,Wayne Gross,L,74,210,0.233,121,Left
725,Wayne Krenchicki,L,73,180,0.266,15,Left
743,Wayne Nordhagen,R,74,205,0.282,39,Right
1097,Wayne Tolleson,B,69,160,0.241,9,Both
938,Wes Parker,B,73,180,0.267,64,Both
1041,Wilbur Howard,B,74,170,0.25,6,Both
846,Willie Aikens,L,75,220,0.271,110,Left
132,Willie Crawford,L,73,197,0.268,86,Left
1023,Willie Davis,L,74,180,0.279,182,Left
877,Willie Horton,R,71,209,0.273,325,Right
996,Willie Montanez,L,72,170,0.275,139,Left
848,Willie Mueller,R,76,220,0.0,0,Right
134,Willie Norwood,R,72,185,0.242,18,Right
248,Willie Smith,L,72,182,0.248,46,Left
972,Willie Stargell,L,74,188,0.282,475,Left
605,Willie Upshaw,L,72,185,0.262,123,Left
531,Win Remmerswaal,R,74,160,0.0,0,Right
932,Winston Llenas,R,70,165,0.23,3,Right
361,Woodie Fryman,R,75,197,0.138,2,Right
461,Woody Woodward,R,74,180,0.236,1,Right
143,Zach Crouch,L,75,180,0.0,0,Left
