,Name,handedness,Height(Inch),Weight(Pound),Avg(%),HR,Hand
1126,Vic Correll,R,70,185,0.229,29,Right
1127,Vic Davalillo,L,67,150,0.279,36,Left
1128,Vic Harris,B,71,165,0.217,13,Both
1129,Vida Blue,B,72,189,0.104,4,Both
1130,Von Joshua,L,70,170,0.273,30,Left
1131,Wallace Johnson,B,72,173,0.255,5,Both
1132,Walt Bond,L,79,228,0.256,41,Left
1133,Walt Williams,R,66,165,0.27,33,Right
1134,Wayne Comer,R,70,175,0.229,16,Right
1135,Wayne Garrett,L,71,175,0.239,61,Left
1136,Wayne Gross,L,74,210,0.233,121,Left
1137,Wayne Krenchicki,L,73,180,0.266,15,Left
1138,Wayne Nordhagen,R,74,205,0.282,39,Right
1139,Wayne Tolleson,B,69,160,0.241,9,Both
1140,Wes Parker,B,73,180,0.267,64,Both
1141,Wilbur Howard,B,74,170,0.25,6,Both
1142,Willie Aikens,L,75,220,0.271,110,Left
1143,Willie Crawford,L,73,197,0.268,86,Left
1144,Willie Davis,L,74,180,0.279,182,Left
1145,Willie Horton,R,71,209,0.273,325,Right
1146,Willie Montanez,L,72,170,0.275,139,Left
1147,Willie Mueller,R,76,220,0,0,Right
1148,Willie Norwood,R,72,185,0.242,18,Right
1149,Willie Smith,L,72,182,0.248,46,Left
1150,Willie Stargell,L,74,188,0.282,475,Left
1151,Willie Upshaw,L,72,185,0.262,123,Left
1152,Win Remmerswaal,R,74,160,0,0,Right
1153,Winston Llenas,R,70,165,0.23,3,Right
1154,Woodie Fryman,R,75,197,0.138,2,Right
1155,Woody Woodward,R,74,180,0.236,1,Right
1156,Zach Crouch,L,75,180,0,0,Left
